Prior_Emotion	Sentence	Attention	Certainty	Effort	Pleasantness	Responsibility/Control	Situational Control
Shame	I felt ... when I was eating at school for the first time in years, when I actually had money, and people made fun of me for eating because I was overweight. It made me feel worthless and like I shouldn’t have been eating anything at all.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I feel ... because I didn't visit a friend who was unwell.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when I bet and I had won.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... because I won a raffle prize.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... when my beautiful dog had to be brought to the vet and the decision was made for her to be put to sleep.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... because I was baptised in the Holy Spirit as a Christian. It was like all my worries were pushed to one side and I had a feeling of immense love, peace and ...	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... because I walked past a beggar and didn't bother to stop and give her a pound.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when my swimming costume broke and I came out of the sea naked.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... because my son gave me a big hug when I got home from work.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when I finally got all the children into bed after a very, long day.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... because my grandfather passed away and I was not there because I didn't want to drive in the early hours of the morning.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... when my mother died age only 59. I sat with her as she took her last breath and have never felt ... like it.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when I watched some of the sad cases of children in need.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my Granny passed away. It's her anniversary and I'm so ... again. I miss her so...	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I feel ... when there are tasks to complete on this platform and that ... is doubled when I get my earning paid into my paypal account.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... because I did something silly.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... because I cheated on my husband.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when I came home from hospital and was greeted by my beautiful dog who I had missed dearly. She was so pleased to see me, and I was so ...	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... dancing down Gloucester Place in London with the man I loved.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... because my daughter managed to achieve an amazing result in an international competition for creatives. As a finalist, she had some brilliant prizes and encouragement and it brought the whole family much ...	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... when my grandmother died as she was the only one who understood me.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... when I ate the last burrito which belonged to my sister.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... when I had an extra marital affair. It was not until I was found out that I realised the hurt and pain I had caused.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... when my bridesmaid died of cancer. She was amazing, she was so generous and spent years in Africa doing charity work, and then ran a night shelter. She regularly had awful migraines, but that pain blinded her to the dangers of stomach cancer.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... after the birth of my first grandchild.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... because I wasn't there when my mother died.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when I received a postage stamp that I had bought online for my collection - it was in excellent condition and completed a set that I had been accumulating since childhood.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... when my best mate died from a drug overdose and I couldn't save him.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Anger	I felt ... when my colleagues did not even bother to say goodbye to me when I got made redundant or even call me to say they were sorry I was going.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Shame	I felt ... when I offended a young woman.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when I got married. I hope I wasn't alone, it was a near-perfect day.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... when the neighbour's wife had passed away. Although I did not know him very well, I felt sorry for him.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... because my mother died of cancer. It was the biggest loss I ever had and I still miss her everyday.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... when a shop assistant gave me too much change and I didn't say anything.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... that I lied about consuming the last of the milk this morning, letting my son take the blame from his mother.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I attempted to steal a book in a store. I took the book with the intention of walking out the store without paying for it. A sense of ... came over me and I actually put the book back. Since that time I have never attempted anything like this again.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I forgot to take my son to a football match because I didn't read messages in a text group carefully enough.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... when my friend died the other week. I hadn’t seen him for a while and this made me very ... Then on the day of his funeral the ... overwhelmed me and I could not even speak.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... because I encouraged a boyfriend to like me and then later split up with him. It was wrong of me to be as encouraging I was with the reservations I had.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when my best friend who moved to Australia surprised me by coming over to England to see me unexpectedly as a surprise visit, she stayed and we spent the whole week making up for lost time.... going to the cinema, going shopping, having girly nights in with old friends and nights out at the weekend. That ... lasted for an entire week. She's back in Australia now and I miss her.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when I won a price for writing an article on podcasting.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... when I smacked my dog after he weed in the house.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... when I offended an old man.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... because we had a beautiful tortoiseshell and white cat who was very loving. When she was only 2 she became very unwell and I had to take her to the vets they x rayed her and said she had a twisted gut and it would be better to put her down.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... when I realized how selfish I was being to someone recently. The situation is none of my business, so I'll butt out.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... that I failed to pay back a loan from my parents, preferring to assume it had been forgotten about rather than reminded them of the subject when the opportunity arose.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	"I felt ... when I said ""no"" to helping someone out simply because I couldn't be bothered."	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... when I laughed at a milkman falling over.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when I passed my Nursing exams to become a qualified Staff Nurse. I worked hard to get there and wanted to make my parents proud of me.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... because my dog was aggressive with another smaller dog for no obvious reason.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... when I did not have the money for tickets to go and see my parents more often.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... that I moan about a life that is essentially privileged and comfortable, when there is real poverty in the world, even on the streets of my city.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... at my last birthday, I got a present from my partner I didn't really want, it was expensive and I knew that we couldn't really afford it. I told him to take it back and he was very upset by it. I felt pangs of ... afterwards and knew I had dealt with it all wrong as the gift was given out of love and I responded with what appeared to be spite.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when I got a new job.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when I bought my first home.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... when I had to attend my grandmother's funeral.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when watching children in need and seeing some of the stories the families had.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when I wasn’t able to speak to a close friend when he was been sick in hospital. It made me ... because I wanted to be able to make him feel happier, and wasn’t able to do so.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my father was diagnosed with dementia and stopped acting as a rational human being.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my mother-in-law passed away.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... when I did not get round to doing the minutes of a meeting for almost three weeks.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... when I took something without paying.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt ... when I was playing Red Dead Redemption 2.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt ... because I forgot a friend's birthday.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... when I got intoxicated at a lively work Christmas party and said some rather unwise things to a senior colleague.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... because I failed to save the life of a mouse. My cat had brought a mouse into the house and it escaped her clutches and dashed into a waste paper bin. Instead of doing something constructive such as covering the bin or picking it up off the floor, I just screamed and jumped on the furniture. This allowed my cat to recapture the mouse and I have felt ... for not saving that mouse from that day.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... lying on a yacht sweeping though the waves off Southern Brazil with a cold beer in my hand.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I forgot a hairdressers appointment.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... after telling my aunt a little white lie as I didn't want to take her to a hospital appointment. I'm ... of my laziness.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I was arrested for stealing.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I shouted at someone for no good reason	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when I finally managed to complete my undergraduate degree. I felt ... because it had been a long hard three years so when it was finally completed, I felt very ...	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I was caught stealing sweets as a child.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... snogging a friend as I really did like his girlfriend.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... when I heard that an old work colleague had died.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... that a member of staff was being nice to me when I was not able to afford what they showed me and which suited me.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... when my mate died and I wasn't there to help him.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... when my football team lost.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my daughter miscarried her first child as she had been trying for a couple of years and was really looking forward to it. She would have been a lovely mother and it would have been another grand child for me.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... when I shouted at a colleague for not doing the job properly and had to apologise.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I realized I had pulled out a pair of pants from my bag when I was getting my wallet out	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... when my dog decided to try to be too friendly with another dog and was a real pest. It was embarrassing and made me feel ... as the other dog owner was so nice about it.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... when my grandparent died. It was very unexpected and although we were not close, it came as a shock.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I feel ... that I am sitting at home eating too much when there are people starving in the world, and regular adverts on certain cable tv channels reminds me of this.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... when I forgot to pick someone up for a lift.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... when I ran over a bird on the road.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... about having let my debt situation get so bad that I ended up with a CCJ.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... because I could not afford a foreign holiday for my family.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I had to file my divorce petition because I had to reveal the causes why my marriage failed.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I found money and did not hand it in.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... because I looked at all the stuff that Santa has organised for my children, and I felt ... for all the children who will get nothing.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... when i stole something from a shop.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... when I scraped another car and drove off, so I drove back there to leave my Insurance details.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt ... when we were making a long journey and my husband, who was driving, failed to see a lorry pulling out in front of us. I yelled and he acted, which saved us, but I still was ...	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when I was attacked by a huge dog while walking to my working place.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I saw a security man handling a homeless guy outside a shop, my ... was due to the fact they were not treating him like a human.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when the Twin Towers in New York were destroyed in a terrorist attack.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... because I saw in the news that a 98 year old man had been robbed and beaten up.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... a huge spider just plopped on down on the sofa besides me, staring me out.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when I nearly got ran over.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when I was riding my motor scooter too fast and saw that I was going to hit a car. I hit the car and was not badly hurt but it was a ... experience.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... when my house was burgled as my children were asleep in bed at the time, and it was the thought that anything could have happened to them.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when starting to open an envelope that I presumed contained the results of a hospital test I had taken recently.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... when someone made a racist comment to my friend while we were in the supermarket.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... when someone accused me of spreading a rumour, but I had nothing to do with it.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... when my son was slapped by a teaching assistant at school and said teaching assistant didn't tell me about it.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when I was dumped by being ignored by the man I loved.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... when I asked my ex husband to pick up a take away for us. He asked me to pick him up from the pub after I had finished working. I work as a District Nurse and work 10 hour shifts. I pulled up outside the pub and he was standing outside with a kebab in his hand for himself. I was very ... as I was really hungry then and he'd been in the pub most of the day.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... when I ate something I thought was fresh pineapple and looked at the rest of it and saw it was squirming.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when my mother forgot my daughter's birthday.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when the gas board dug up a local road.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when I woke up from having a nightmare. When I awoke I felt ... in the dark and had to put the lights on and give myself some time to calm down.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when trying to go to the top of a set of high stairs to ride a water ride. The height made me ...	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... when another dog owner told someone else that my dog was vicious when he is not.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... when I saw on tv how Trump is dealing with immigrants from Mexico.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... when I had bean soup.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... because I had to have a general anaesthetic for an operation.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I saw an old man being attacked at a football match.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... when my son came out in a purple rash all over his body. The doctor didn't know what it was, nor did A&E. It was the not knowing how to help him that was worst.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... when I saw a news report of people rioting and looting in my country.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... because the drain smelled.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when I came across a dead cat in bits on the motorway, when I was driving earlier.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I feel ... because my ex-husband lies to my children and always puts himself first.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when I could hear shouting outside my house. I really didn’t want to hear it, and I was ... to look out of the window. I was very ... and couldn’t settle and my breathing wasn’t very good.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when my ex-partner cheated on me numerous times. He did not even try to hide it, and when I look back on the situation I feel ...	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... because I was overlooked at work.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... because I was walking around in the dark.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I saw a load of dog poo on the pavement that someone had trod in and smeared all over the pavement.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when I unblocked a drain filled with raw sewage.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when watching Prime Ministers Questions on TV at the way the MPs barracked and behaved. It was not appropriate.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... when I stepped into a pile of dog excrement on the pavement.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when I was on a bus, it was evening and we where going through the down town area about 10 minutes from home. Suddenly, there was a loud bang and a shattering of glass at the back of the bus. Some louts threw a rock through the window, and although everyone was ok, they could have caused serious injury. I could see some kids laughing, I was sure they did it or just thought it was funny. It made me so ... to think what could have happened and what injuries could have occurred, and they were laughing.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... when I heard a man shouting at his girlfriend in a rather abusive manner.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when I saw somebody with their feet on a station seat.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... when I saw a drunk man falling about in the street.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when somebody nearly crashed into me driving a bus.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... before doing my driving test. I had taken important exams before and wasn't ... but for some reason my driving test was really ...	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... when my brother and sister in law did not turn up for Christmas with my parents for days. Leaving me getting their anger about this unfairly inflicted on me.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... when someone I knew faked having cancer to win sympathy and approval. It all came out afterwards, and people had given money, time and energy into him.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... when I was climbing up a very high ladder and when I got to the top I panicked and froze. I had to be talked down by the man footing the ladder as I could not look down or move properly.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I was at a football game watching my favourite team, who were playing at home against their biggest local rivals. This was an important game in the season and involved silverware. My team was not really playing well and it showed at half time, as my team was losing. Hoping that things would turn around, I remember thinking that my team could still win this but this was not the way it worked out. My team was well beaten, the rival fans were jeering and I was absolutely ...	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... because I was knocked off my bike by a car, and trapped between my bike and the car, on the edge of a steep verge. There was a moment when you didn't know which way it was going to go.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I went into an unclean toilet. It was not fit for use and I walked out again.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when I was watching a programme on television that was very gory. It involved a celebrity doing horrible challenges like eating witchety grubs.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... that another teenage child had been bullying my son at high school, resulting in him injuring his wrist and requiring a visit to the local hospital.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... because the parents dropping their kids off to school were driving and parking dangerously.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... because my grand daughter was born via emergency C section.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I opened a pea shell and found a maggot inside it.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when I discovered that I had been overcharged for some work on my car and that I could have had the job completed for a cheaper price.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I was ... when my partner came home very drunk after a night out with his friends. He then proceeded to tell me everything that was wrong with myself and was very hurtful. I was so ... I didn’t speak to him for a week.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... because my housemates were dicks.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when I had to walk back alone after a night out in London, having recently been reading a lot of news about an increase in the occurrence of stabbings in the capital.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when it was dark and I was in an unknown area.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when I thought I had lost my wallet.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... because I woke up one night recently and was convinced there was someone in my bedroom. I was ... to even breathe and was listening so closely to establish if indeed, there was someone in the room. After what seemed like an age, I ventured out of the bed and checked everywhere in the room, but found nobody. The ... that I felt affected me badly, so much so that I was unable to sleep any more that night.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I feel ... when I read about a recent case of animal cruelty in the newspaper.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when I had to clean up after people.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when I cleaned my child's room and found mugs that had sat there so long they had mould growing in them.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... because my child projectile vomited all over his bed, himself and the wall.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... reading about the life of the Kardashians.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I feel ... when I see news headlines on television of how people have not cared for their children or have abused them.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when I found out I was trapped in a lift, because they had forgotten to do the proper maintenance.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... because I had to climb a high ladder.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... because there was a very loud and unexpected bang behind me.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I feel ... when I see how some people live on television.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... when on one of my first airline flights when we hit some air turbulence and the plane was bouncing up and down.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when my dog ate his own poo. I do apologize. He now is more selective and just eats fresh poo of other dogs. Still ...	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when someone said my dog was scruffy.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... when I was served almost a chicken head as a traditional dish in the south of Italy.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... when we lost the Referendum on brexit.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when I was last interviewed for a job.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt ... when a drunk man insulted my intelligence.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... on the last flight I took because there was a lot of turbulence the plane wasn't very big and it kept dropping. Some children were crying and it really ... me.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I had to clean up some fairly ... cat puke from the sofa this morning.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... when there was an unexplained withdrawal from my bank account and thought I was being fleeced. It was eventually corrected.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... because I was delivering leaflets around a run down housing estate and there was a a menacing atmosphere.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I stepped in some dog excrement whilst walking on a footpath to the library.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	"I felt ... when I got told there was an irregularity in my heart ECG called ""long QT"" after a regular check up conducted by a nurse who couldn't give me more information at the time because of not being qualified. While waiting for a doctor to give me further information, I started to feel intermittent pain in my chest a couple of days later, I felt like I could be having a heart attack at any moment, although I wasn't certain whether it was also psychosomatic because I was ... about it and I didn't want to call an ambulance wasting their time either, this pain went on for quite a few days on and off and gave me constant ... I had a ... of literally dropping dead, since I read online that this was a genuine risk with ""long QT"" and it caused ... especially since I live alone. A friend and neighbour were given a key and checked up on me regularly, but it didn't take the ... away. I also ensured I carried my phone with me, even to the toilet and I was reluctant to exercise, every time the pain increased I felt a lot of ... wondering if this is going to be it, it made me feel almost sick inside down to the stomach. PS: I was taking a medication that was said to have possibly caused the issue and after quickly cutting down (faster than advised by my doctor) my ECG was fine again just over a week later and the pain stopped. I am autistic if that has any relevance."	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when I was trapped in a subway train in New York with a crazy person threatening me and my friends with a broken bottle.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I smelled the garbage bin.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when I saw somebody kicking their dog.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... because my husband's former wife kept his children away for him one weekend and influenced them not to see us.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when my partner's four year old daughter went missing in a supermarket.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when I had to clean a very old toilet in a country house and the loo was very dirty and made me sick.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when I walked past a pool of vomit in the street	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... because the milk I put in my coffee had lumps in it.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... at the supermarket checkout, waiting behind a woman who insisted on paying for her weekly shop with a combination of small change and vouchers, making me go late home.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... when someone I gave a job to lied about me to my boss and helped get me fired.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt ... when I was kept waiting by a sales assistant.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when I had to go into hospital for an angiogram. I was ... that something would go wrong and I would die. It was a horrible feeling.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when I had to climb a ladder to do a job on the gutters.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt ... when yesterday I watched a lady let her dog poo outside my back gate and then just walk off without picking it up. It was ... and I really don’t like people who let that happen and don’t pick it up.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt ... because my son stripped the wallpaper in the hall where he was supposed to be sitting for time out when he was a little boy.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt ... when I was ten years old and trying to get to sleep after staying up late, unknown to my parents, to watch a late night hammer horror film.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt ... when I lay awake during the night and kept hearing unusual sounds coming from downstairs, though I tried to rationalise them so as not to get up and investigate.	0.03	-0.73	0.63	-0.44	-0.17	0.59
